_id,title,roomName,gender,roomType,py,deposit,rentFee,region,brandType,roomOption,url,imgUrl
65dab5aded6261510baeb702,매물번호 41794102,매물번호 41794102,공용,1인실,27.28㎡,100만원,90만원,서울특별시 강남구 역삼동,일반사업자,벽걸이형\n침대\n책상\n옷장\n신발장\n냉장고\n세탁기\n샤워부스\n싱크대\n가스레인지\n전자레인지\nTV\n붙박이장\n베란다\n비디오폰\n카드키\nCCTV\n현관보안\n방범창,https://www.dabangapp.com/room/65b75b2168ce8f071b82ce9c,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab5b6ed6261510baeb703,매물번호 42297739,매물번호 42297739,공용,1인실,23.14㎡,70만원,70만원,서울특별시 서초구 반포동,일반사업자,벽걸이형\n침대\n신발장\n냉장고\n세탁기\n싱크대\n인덕션\n전자레인지\nTV\n붙박이장\nCCTV,https://www.dabangapp.com/room/65d6c11d241d1628e39970b0,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab5beed6261510baeb704,매물번호 41395922,매물번호 41395922,공용,그 외,26.63㎡,200만원,47만원,경기도 안산시 단원구 성곡동 838-1,일반사업자,천장형\n옷장\n신발장\n냉장고\n세탁기\n건조기\n샤워부스\n싱크대\n인덕션\nTV\n붙박이장\n화재경보기\n경비원\n비디오폰\n인터폰\n카드키\nCCTV\n사설경비\n현관보안,https://www.dabangapp.com/room/659f5a020a90dc0320cc9cae,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab5c6ed6261510baeb705,매물번호 42039595,매물번호 42039595,공용,1인실,22.23㎡,100만원,65만원,서울특별시 구로구 개봉동,일반사업자,천장형\n냉장고\n세탁기\n건조기\n인덕션\n테라스\n,https://www.dabangapp.com/room/65c9b5dc3f8e427a521cccd3,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab5ceed6261510baeb706,매물번호 42039595,매물번호 42039595,공용,1인실,22.23㎡,100만원,65만원,서울특별시 구로구 개봉동,일반사업자,천장형\n냉장고\n세탁기\n건조기\n인덕션\n테라스\n,https://www.dabangapp.com/room/65b362a4459676778372eca2,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab5d6ed6261510baeb707,매물번호 41969651,매물번호 41969651,공용,그 외,29.85㎡,2억5000만원,70만원,서울특별시 강남구 개포동,일반사업자,천장형\n신발장\n냉장고\n세탁기\n싱크대\n인덕션\n화재경보기\n베란다\n비디오폰\n인터폰\n카드키\nCCTV\n현관보안\n방범창,https://www.dabangapp.com/room/65c1cb3e4bfb567a9d1890e0,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab5deed6261510baeb708,매물번호 41545672,매물번호 41545672,공용,그 외,50㎡,500만원,50만원,경기도 안산시 상록구 부곡동,일반사업자,\n,https://www.dabangapp.com/room/65a7a522f0985c099a7d1588,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab5e6ed6261510baeb709,매물번호 42283472,매물번호 42283472,공용,그 외,35.46㎡,500만원,45만원,서울특별시 도봉구 창동,일반사업자,\n,https://www.dabangapp.com/room/65d5b4f55b57694224251e5d,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab5efed6261510baeb70a,매물번호 42258235,매물번호 42258235,공용,1인실,19.83㎡,300만원,33만원,경기도 안산시 상록구 본오동,일반사업자,벽걸이형\n신발장\n냉장고\n세탁기\n싱크대\n가스레인지\nTV\n베란다\n인터폰\nCCTV,https://www.dabangapp.com/room/65d45a4fe005b90ce6ecf70e,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab5f7ed6261510baeb70b,매물번호 42136130,매물번호 42136130,공용,1인실,30㎡,2000만원,65만원,경기도 안양시 동안구 관양동,일반사업자,벽걸이형\n신발장\n냉장고\n세탁기\n싱크대\n인덕션\n붙박이장\n,https://www.dabangapp.com/room/65cda1b787ff460a2c452ec7,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab5ffed6261510baeb70c,매물번호 42113875,매물번호 42113875,공용,1인실,19.83㎡,500만원,38만원,경기도 화성시 봉담읍,일반사업자,벽걸이형\n신발장\n냉장고\n세탁기\n싱크대\n인덕션\nTV\n인터폰\nCCTV\n현관보안,https://www.dabangapp.com/room/65cc79b12a88523796baa7ff,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab607ed6261510baeb70d,매물번호 41928255,매물번호 41928255,공용,그 외,46.28㎡,500만원,45만원,경기도 안산시 단원구 와동,일반사업자,싱크대\n베란다\n현관보안,https://www.dabangapp.com/room/65c0425df53d02688b58fdec,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab610ed6261510baeb70e,매물번호 42039875,매물번호 42039875,공용,1인실,16.53㎡,300만원,42만원,서울특별시 서대문구 연희동,일반사업자,벽걸이형\n옷장\n신발장\n냉장고\n세탁기\n싱크대\n인덕션\nCCTV\n현관보안\n방범창,https://www.dabangapp.com/room/65c9bc1952a335556ecc6155,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab618ed6261510baeb70f,매물번호 42334543,매물번호 42334543,공용,1인실,21㎡,500만원,42만원,경기도 수원시 영통구 원천동,일반사업자,벽걸이형\n책상\n옷장\n신발장\n냉장고\n세탁기\nTV\n붙박이장\n화재경보기\n베란다\nCCTV\n현관보안,https://www.dabangapp.com/room/65d84f31cd01c85a74b8b5f9,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab627ed6261510baeb710,매물번호 42068137,매물번호 42068137,공용,그 외,23.87㎡,1000만원,60만원,경기도 구리시 교문동 230-1,일반사업자,천장형\n냉장고\n세탁기\n싱크대\n인덕션\n붙박이장\n인터폰\n현관보안,https://www.dabangapp.com/room/65cafa523765b27a23e8fc9e,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab630ed6261510baeb711,매물번호 42116945,매물번호 42116945,공용,그 외,42.97㎡,150만원,150만원,서울특별시 강남구 논현동,일반사업자,벽걸이형\n침대\n식탁\n신발장\n냉장고\n세탁기\n가스레인지\n전자레인지\nTV\n붙박이장\n베란다\nCCTV\n현관보안\n방범창,https://www.dabangapp.com/room/65ccaee09ade2d7d823fe8eb,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab638ed6261510baeb712,매물번호 42169111,매물번호 42169111,공용,1인실,33.05㎡,5000만원,90만원,서울특별시 성북구 삼선동5가,일반사업자,천장형\n책상\n옷장\n신발장\n냉장고\n세탁기\n샤워부스\n싱크대\n인덕션\n전자레인지\n화재경보기\n경비원\n인터폰\nCCTV\n현관보안,https://www.dabangapp.com/room/65cf0dacc936253f67acdccc,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab640ed6261510baeb713,매물번호 42155992,매물번호 42155992,공용,1인실,19.84㎡,300만원,30만원,경기도 안산시 상록구 월피동,일반사업자,벽걸이형\n냉장고\n세탁기\n가스레인지\n,https://www.dabangapp.com/room/65cec9bcb0cf2d640e35a806,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab647ed6261510baeb714,매물번호 42310124,매물번호 42310124,공용,그 외,39.66㎡,500만원,45만원,서울특별시 도봉구 방학동,일반사업자,싱크대\n,https://www.dabangapp.com/room/65d70257cc7fc91211fabda8,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab650ed6261510baeb715,매물번호 42147936,매물번호 42147936,공용,1인실,26.44㎡,120만원,120만원,경기도 하남시 망월동,일반사업자,침대\n옷장\n신발장\n냉장고\n세탁기\n인덕션\n전자레인지\nTV\n경비원\n비디오폰\nCCTV\n현관보안,https://www.dabangapp.com/room/65ceaef826414124ca9efce1,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
